INFO  - 2020-04-03 15:31:59.656; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-04-03 15:32:35.229; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 15:32:36.299; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 15:32:36.300; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-04-03 15:32:51.940; it.uniroma2.isw2.milestone1.Milestone1; Done! Found 2817 commits in Git!
INFO  - 2020-04-03 15:33:05.229; it.uniroma2.isw2.milestone1.Milestone1; Il tuo file CSV è pronto!
INFO  - 2020-04-03 15:40:43.106; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 15:40:44.233; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 15:40:44.233; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-04-03 15:40:58.025; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 15:40:59.144; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 15:40:59.144; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-04-03 15:41:12.833; it.uniroma2.isw2.milestone1.Milestone1; Done! Found 2817 commits in Git!
INFO  - 2020-04-03 15:41:25.589; it.uniroma2.isw2.milestone1.Milestone1; Il tuo file CSV è pronto!
INFO  - 2020-04-03 15:55:15.452; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 15:55:16.561; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 15:55:16.562; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-04-03 15:55:29.355; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 15:55:30.374; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 15:55:30.375; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-04-03 15:55:45.187; it.uniroma2.isw2.milestone1.Milestone1; Done! Found 2817 commits in Git!
INFO  - 2020-04-03 15:55:58.455; it.uniroma2.isw2.milestone1.Milestone1; Il tuo file CSV è pronto!
INFO  - 2020-04-03 16:05:03.142; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 16:05:04.201; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 16:05:04.201; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-04-03 16:05:12.685; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 16:05:13.829; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 16:05:13.829; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-04-03 16:05:28.079; it.uniroma2.isw2.milestone1.Milestone1; Done! Found 2817 commits in Git!
INFO  - 2020-04-03 16:05:40.754; it.uniroma2.isw2.milestone1.Milestone1; Il tuo file CSV è pronto!
INFO  - 2020-04-03 17:04:01.099; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 17:04:02.368; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 17:04:02.369; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-04-03 17:04:20.532; it.uniroma2.isw2.milestone1.Milestone1; Done! Found 2817 commits in Git!
INFO  - 2020-04-03 17:04:33.080; it.uniroma2.isw2.milestone1.Milestone1; Done! Your file .csv is ready!
INFO  - 2020-04-03 18:15:28.447; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 18:15:29.518; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 18:15:29.518; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-04-03 18:15:39.137; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 18:15:40.213; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 18:15:40.214; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-04-03 18:15:57.804; it.uniroma2.isw2.milestone1.Milestone1; Done! Found 2817 commits in Git!
INFO  - 2020-04-03 18:16:10.053; it.uniroma2.isw2.milestone1.Milestone1; Done! Your file .csv is ready!
INFO  - 2020-04-27 10:00:07.205; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-27 10:00:08.932; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-27 10:00:08.934; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-04-27 10:01:24.432; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-27 10:01:26.115; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-27 10:01:26.116; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-04-27 10:01:40.019; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-27 10:01:41.821; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-27 10:01:41.821; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-04-27 10:02:00.959; it.uniroma2.isw2.milestone1.Milestone1; Done! Found 2817 commits in Git!
INFO  - 2020-04-27 10:02:13.566; it.uniroma2.isw2.milestone1.Milestone1; Done! Your file .csv is ready!
INFO  - 2020-05-02 17:46:01.658; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-05-02 17:46:02.713; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-05-02 17:46:02.713; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-05-28 11:50:40.862; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-05-28 11:50:42.086; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-05-28 11:50:42.086; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-05-28 11:51:34.981; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-05-28 11:51:36.080; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-05-28 11:51:36.080; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-05-28 11:51:53.125; it.uniroma2.isw2.milestone1.Milestone1; Done! Found 2820 commits in Git!
INFO  - 2020-05-28 11:52:06.302; it.uniroma2.isw2.milestone1.Milestone1; Done! Your file .csv is ready!
INFO  - 2020-05-28 11:55:13.988; it.uniroma2.isw2.milestone1.Main; Retieving data from Jira...
INFO  - 2020-05-28 11:55:15.079; it.uniroma2.isw2.milestone1.Main; Found 434 fixed bugs in Jira DB!
INFO  - 2020-05-28 11:55:15.079; it.uniroma2.isw2.milestone1.Main; Downloading repository from Git...
INFO  - 2020-05-28 11:55:28.434; it.uniroma2.isw2.milestone1.Main; Done! Found 2820 commits in Git!
INFO  - 2020-05-28 11:55:41.074; it.uniroma2.isw2.milestone1.Main; Done! Your file .csv is ready!
INFO  - 2020-05-28 11:56:16.362; it.uniroma2.isw2.milestone1.Main; Retieving data from Jira...
INFO  - 2020-05-28 11:56:17.441; it.uniroma2.isw2.milestone1.Main; Found 434 fixed bugs in Jira DB!
INFO  - 2020-05-28 11:56:17.441; it.uniroma2.isw2.milestone1.Main; Downloading repository from Git...
INFO  - 2020-05-28 11:56:30.913; it.uniroma2.isw2.milestone1.Main; Done! Found 2820 commits in Git!
INFO  - 2020-05-28 11:56:43.534; it.uniroma2.isw2.milestone1.Main; Done! Your file .csv is ready!
INFO  - 2020-05-28 12:10:06.318; it.uniroma2.isw2.milestone1.Main; Retieving data from Jira...
INFO  - 2020-05-28 12:10:07.576; it.uniroma2.isw2.milestone1.Main; Found 434 fixed bugs in Jira DB!
INFO  - 2020-05-28 12:10:07.577; it.uniroma2.isw2.milestone1.Main; Downloading repository from Git...
INFO  - 2020-05-28 12:10:22.469; it.uniroma2.isw2.milestone1.Main; Done! Found 2820 commits in Git!
INFO  - 2020-05-28 12:10:35.039; it.uniroma2.isw2.milestone1.Main; Done! Your file .csv is ready!
